
                                  SUMMARY OF ENERGY TRANSFER AT THE SURFACE


                               SOLAR RADIATION                         LONG-WAVE RADIATION
               ------------------------------------------    -----------------------------------------
 DAY HR  YR    CANOPY     SNOW   RESIDUE    SOIL   TOTAL     CANOPY    SNOW   RESIDUE    SOIL    TOTAL  SENSIBLE  LATENT
                KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2   KJ/M2
 342 23   86       0.       0.       0.       0.       0.       0.       0.       0.     -38.     -38.       2.     -66.
 342 24   86       0.       0.       0.       0.       0.       0.       0.       0.     -32.     -32.       3.     -36.
 343  1   86       0.       0.       0.       0.       0.       0.       0.       0.     -47.     -47.       1.     -76.
 343  2   86       0.       0.       0.       0.       0.       0.       0.       0.     -41.     -41.       2.     -53.
 343  3   86       0.       0.       0.       0.       0.       0.       0.       0.     -36.     -36.       5.     -78.
 343  4   86       0.       0.       0.       0.       0.       0.       0.       0.     -25.     -25.      35.    -479.
 343  5   86       0.       0.       0.       0.       0.       0.       0.       0.     -15.     -15.      47.    -201.
 343  6   86       0.       0.       0.       0.       0.       0.       0.       0.      -9.      -9.      56.    -298.
 343  7   86       0.       0.       0.       0.       0.       0.       0.       0.      38.      38.      82.    -260.
 343  8   86       0.       0.       0.      34.      34.       0.       0.       0.     101.     101.     122.    -156.
 343  9   86       0.       0.       0.     343.     343.       0.       0.       0.     113.     113.     157.    -155.
 343 10   86       0.       0.       0.     695.     695.       0.       0.       0.     115.     115.     132.    -161.
 343 11   86       0.       0.       0.     685.     685.       0.       0.       0.     114.     114.     104.    -102.
 343 12   86       0.       0.       0.     626.     626.       0.       0.       0.     116.     116.      74.    -128.
 343 13   86       0.       0.       0.     458.     458.       0.       0.       0.     101.     101.      27.     -27.
 343 14   86       0.       0.       0.     779.     779.       0.       0.       0.      84.      84.      62.     -66.
 343 15   86       0.       0.       0.     523.     523.       0.       0.       0.      90.      90.      63.     -27.
 343 16   86       0.       0.       0.     148.     148.       0.       0.       0.      84.      84.      50.     -27.
 343 17   86       0.       0.       0.       5.       5.       0.       0.       0.      -1.      -1.       8.     -33.
 343 18   86       0.       0.       0.       0.       0.       0.       0.       0.       9.       9.      10.     -79.
 343 19   86       0.       0.       0.       0.       0.       0.       0.       0.     -22.     -22.      16.    -203.
 343 20   86       0.       0.       0.       0.       0.       0.       0.       0.     -29.     -29.      10.    -250.
